,BOROUGH,YEAR,MONTH,REVENUE_USD
0,Bronx,2019,1,1974653.36
1,Brooklyn,2019,1,6422650.200000001
2,EWR,2019,1,42432.48999999999
3,Manhattan,2019,1,97907883.22
4,Queens,2019,1,24208302.770000003
5,Staten Island,2019,1,39680.04
6,Unknown,2019,1,2917725.62
7,,2019,1,281432.1000000001
8,Bronx,2019,2,1985282.32
9,Brooklyn,2019,2,6287408.029999999
10,EWR,2019,2,45346.219999999994
11,Manhattan,2019,2,109295571.14999999
12,Queens,2019,2,24061237.889999997
13,Staten Island,2019,2,42731.19
14,Unknown,2019,2,1371785.1799999997
15,,2019,2,258046.61
16,Bronx,2019,3,2049312.6800000002
17,Brooklyn,2019,3,6673637.54
18,EWR,2019,3,61972.22
19,Manhattan,2019,3,125502937.16
20,Queens,2019,3,28155637.019999992
21,Staten Island,2019,3,37932.87
22,Unknown,2019,3,1067914.33
23,,2019,3,339102.68
24,Bronx,2019,4,1672880.4400000002
25,Brooklyn,2019,4,5831224.68
26,EWR,2019,4,61788.63999999999
27,Manhattan,2019,4,119006999.77
28,Queens,2019,4,27186411.71
29,Staten Island,2019,4,32287.6
30,Unknown,2019,4,1408117.1000000003
31,,2019,4,347005.94000000006
32,Bronx,2019,5,1458424.02
33,Brooklyn,2019,5,5455265.3100000005
34,EWR,2019,5,70800.70999999999
35,Manhattan,2019,5,122543708.24000001
36,Queens,2019,5,28083813.730000004
37,Staten Island,2019,5,39451.36
38,Unknown,2019,5,1354571.7499999998
39,,2019,5,368952.17
40,Bronx,2019,6,1245237.9500000004
41,Brooklyn,2019,6,4936631.290000001
42,EWR,2019,6,76594.05
43,Manhattan,2019,6,112880790.97999999
44,Queens,2019,6,26481768.59
45,Staten Island,2019,6,35013.77
46,Unknown,2019,6,1234850.0999999999
47,,2019,6,371635.33999999997
48,Bronx,2019,7,1197075.96
49,Brooklyn,2019,7,4410119.7299999995
50,EWR,2019,7,73302.73999999999
51,Manhattan,2019,7,100198747.61999999
52,Queens,2019,7,24699402.240000002
53,Staten Island,2019,7,37333.35
54,Unknown,2019,7,1065669.66
55,,2019,7,363494.75
56,Bronx,2019,8,1169079.6500000001
57,Brooklyn,2019,8,4133088.5
58,EWR,2019,8,74531.49
59,Manhattan,2019,8,95647666.77000001
60,Queens,2019,8,25200841.77
61,Staten Island,2019,8,34508.46
62,Unknown,2019,8,1172529.32
63,,2019,8,352771.72000000003
64,Bronx,2019,9,1157680.2700000003
65,Brooklyn,2019,9,4423791.47
66,EWR,2019,9,78025.31000000001
67,Manhattan,2019,9,106773685.53999999
68,Queens,2019,9,25263322.180000003
69,Staten Island,2019,9,30208.000000000004
70,Unknown,2019,9,1212907.1500000001
71,,2019,9,339757.79000000004
72,Bronx,2019,10,1309794.78
73,Brooklyn,2019,10,4760065.160000001
74,EWR,2019,10,88249.47000000002
75,Manhattan,2019,10,117763826.93999998
76,Queens,2019,10,26088518.599999998
77,Staten Island,2019,10,35306.66
78,Unknown,2019,10,1252961.3900000001
79,,2019,10,342390.85000000003
80,Bronx,2019,11,1197724.6899999997
81,Brooklyn,2019,11,4420442.12
82,EWR,2019,11,82324.71
83,Manhattan,2019,11,111566501.64999999
84,Queens,2019,11,23241449.78
85,Staten Island,2019,11,30178.749999999996
86,Unknown,2019,11,1154997.2300000002
87,,2019,11,312814.04000000004
88,Bronx,2019,12,1242922.23
89,Brooklyn,2019,12,4372115.640000001
90,EWR,2019,12,93083.33000000002
91,Manhattan,2019,12,109899948.90999998
92,Queens,2019,12,23603779.770000003
93,Staten Island,2019,12,26550.879999999997
94,Unknown,2019,12,1169687.38
95,,2019,12,337393.98
